	iata	icao	latitude	longitude	pm10
126	UAQ	SANU	-31.5715	-68.4182	3.27
127	ARR	SAVR	-45.0136	-70.8122	1.15
128	OVR	SAZF	-36.89	-60.2166	3.8
129	OYA	SATG	-29.1058	-59.2189	1.84
130	OYO	SAZH	-38.3869	-60.3297	1.89
131	LUQ	SAOU	-33.2732	-66.3564	0.71
132	TUC	SANT	-26.8409	-65.1049	4.79
133	CLX	SATC	-25.3036	-57.7344	15.23
134	EMX	SAVD	-42.0292	-71.1725	1.14
135	PEH	SAZP	-35.8446	-61.8576	1.25
136	PMQ	SAWP	-46.5379	-70.9787	0.78
137	PMY	SAVY	-42.7592	-65.1027	1.72
138	ULA	SAWJ	-49.3068	-67.8026	7.9
139	JUJ	SASJ	-24.3928	-65.0978	2.32
140	GNR	SAHR	-39.0007	-67.6205	3.28
141	VLG	SAZV	-37.2354	-57.0292	10.0
142	JSM	SAWS	-44.0486	-70.4589	1.83
143	PRA	SAAP	-31.7948	-60.4804	4.39
144	JNI	SAAJ	-34.5459	-60.9306	4.85
145	GHU	SAAG	-33.0103	-58.6131	5.89
146	USH	SAWH	-54.8433	-68.2958	0.58
147	PRQ	SARS	-26.7536	-60.4922	1.11
148	GGS	SAWR	-48.7831	-70.15	1.89
149	CRD	SAVC	-45.7853	-67.4655	5.23
150	EHL	SAVB	-41.9432	-71.5323	1.25
151	PSS	SARP	-27.3858	-55.9707	2.91
152	TDL	SAZT	-37.2374	-59.2279	2.97
153	PUD	SAWD	-47.7353	-65.9041	3.83
154	RAF	SAFR	-31.2825	-61.5017	3.98
155	FTE	SAWA	-50.2803	-72.0531	0.9
156	FMA	SARF	-26.2127	-58.2281	1.16
157	VME	SAOR	-33.7299	-65.3874	1.33
158	IRJ	SANL	-29.3816	-66.7958	1.32
159	VGS		-35	-63	1.39
160	LPG	SADL	-34.9722	-57.8947	3.57
161	CUT	SAZW	-38.9397	-69.2646	3.53
162	CRR	SANW	-29.8723	-61.9279	4.79
163	LMD		-40.8177	-68.0747	0.97
164	RCQ	SATR	-29.2103	-59.68	1.66
165	LLS	SATK	-24.7214	-60.5488	0.63
166	RCU	SAOC	-33.0851	-64.2613	3.93
167	NCJ	SAFS	-30.9575	-61.5283	4.47
168	MJR		-38.2271	-57.8697	6.3
169	RDS	SAHS	-37.3906	-68.9042	3.08
170	REL	SAVT	-43.2105	-65.2703	1.16
171	VDR	SAOD	-31.9452	-65.1463	1.32
172	MCS	SARM	-30.2719	-57.6402	2.92
173	LHS	SAVH	-46.5383	-68.9653	4.75
174	LGS	SAMM	-35.4936	-69.5743	2.78
175	BHI	SAZB	-38.725	-62.1693	0.67
176	MDQ	SAZM	-37.9342	-57.5733	6.92
177	LCP		-38.0819	-70.6439	1.9
178	LCM	SACC	-31.0058	-64.5319	2.15
179	RES	SARE	-27.45	-59.0561	1.32
180	NQN	SAZN	-38.949	-68.1557	3.64
181	MDX	SATM	-29.2214	-58.0878	2.98
182	CVH		-37.8514	-71.0092	1.91
183	CVI		-46.4318	-67.5186	2.28
184	VDM	SAVV	-40.8692	-63.0004	1.44
185	RGA	SAWE	-53.7777	-67.7494	0.66
186	RGL	SAWG	-51.6089	-69.3126	5.46
187	EQS	SAVE	-42.908	-71.1395	1.21
188	MDZ	SAME	-32.8317	-68.7929	3.13
189	RHD	SANR	-27.4966	-64.936	1.88
190	AOL	SARL	-29.6894	-57.1521	3.17
191	IGR	SARI	-25.7373	-54.4734	6.22
192	CNT		-27.2164	-61.2103	1.07
193	CCT		-37.9102	-67.835	5.28
194	VCF		-40.7	-66.15	1.45
195	IGB	SAVJ	-41.3209	-69.5749	1.54
196	NEC	SAZO	-38.4831	-58.8172	3.85
197	AEP	SABE	-34.5589	-58.4164	3.72
198	EZE	SAEZ	-34.8222	-58.5358	4.77
199	PPG	NSTU	-14.331	-170.71	1.35
200	TAV		-14.2292	-169.511	1.16
201	OFU	NSAS	-14.1844	-169.67	1.1
202	LNZ	LOWL	48.2332	14.1875	1.84
203	SZG	LOWS	47.7933	13.0043	0.95
204	KLU	LOWK	46.6425	14.3377	4.69
205	GRZ	LOWG	46.9911	15.4396	28.72
206	INN	LOWI	47.2602	11.344	2.22
207	VIE	LOWW	48.1103	16.5697	2.21
208	HOH	LOIH	47.385	9.7	6.81
209	PHQ	YTMO	-21.8111	139.924	34.89
210	CBC		-18.9178	125.538	48.69
211	MSF	YMNS	-22.6247	135.035	33.72
212	AAB	YARY	-26.693	141.048	10.56
213	XTO	YTAM	-25.8017	149.9	2.01
214	MXU	YMWA	-28.475	115.517	65.42
215	CED	YCDU	-32.1306	133.71	4.94
216	RSB	YRSB	-25.8333	139.65	25.94
217	HVB	YHBA	-25.3189	152.88	3.04
218	RRV		-16.7183	136.945	4.74
219	RRE	YMRE	-29.6633	138.065	5.51
220	DCN	YCIN	-17.5814	123.828	28.31
221	RPV		-14.9215	134.05	0.53
222	XTG	YTGM	-27.9864	143.811	11.82
223	HWK	YHAW	-31.8559	138.468	2.68
224	MXD	YMWX	-23.3637	139.65	24.97
225	RPM	YNGU	-14.7228	134.747	0.77
226	HXX	YHAY	-34.5314	144.83	2.05
227	DDN	YDLT	-16.9917	141.317	3.47
228	CES	YCNK	-32.7875	151.342	1.39
229	RPB	YRRB	-14.7348	134.525	0.64
230	ROK	YBRK	-23.3819	150.475	3.38
231	ROH	YROB	-18.845	143.71	0.85
232	MWY	YMIR	-17.3289	141.886	1.33
233	LRE	YLRE	-23.4342	144.28	5.01
234	RMK	YREN	-34.1964	140.674	1.65
235	RMA	YROM	-26.545	148.775	1.05
236	MWT	YMWT	-29.9069	139.765	31.35
237	RLP		-18.4253	144.459	0.9
238	ABG	YABI	-17.6167	143.167	1.21
239	ABH	YAPH	-23.6461	146.584	1.25
240	XRH	YSRI	-33.6006	150.781	0.92
241	RKY		-13.6434	142.641	0.58
242	IDK	YIDK	-26.9667	133.325	16.56
243	MWB	YMRW	-29.2017	116.022	75.59
